GISJOIN,YEAR,GEOID,GEOCODE,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,COUSUBA,COUSUBCC,SUBMCDA,CONCITA,PLACEA,PLACECC,TRACTA,BLKGRPA,BLOCKA,AIANHHA,RES_ONLYA,TRUSTA,AIANHHCC,AITSA,ANRCA,CBSAA,MEMI,CSAA,METDIVA,NECTAA,NMEMI,CNECTAA,NECTADIVA,CBSAPCI,NECTAPCI,CDA,SLDU18A,SLDL18A,VTDA,VTDI,SDELMA,SDSECA,SDUNIA,AREALAND,AREAWATR,BASENAME,NAME,FUNCSTAT,INTPTLAT,INTPTLON,LSADC,pop_total,U7B002,U7B003,U7B004,U7B005,U7B006,U7B007,U7B008,U7B009,U7B010,U7B011,U7B012,U7B013,U7B014,U7B015,U7B016,U7B017,U7B018,U7B019,U7B020,U7B021,U7B022,U7B023,U7B024,U7B025,U7B026,U7B027,U7B028,U7B029,U7B030,U7B031,U7B032,U7B033,U7B034,U7B035,U7B036,U7B037,U7B038,U7B039,U7B040,U7B041,U7B042,U7B043,U7B044,U7B045,U7B046,U7B047,U7B048,U7B049,U7B050,U7B051,U7B052,U7B053,U7B054,U7B055,U7B056,U7B057,U7B058,U7B059,U7B060,U7B061,U7B062,U7B063,U7B064,U7B065,U7B066,U7B067,U7B068,U7B069,U7B070,U7B071
G280,2020,0400000US28,28,3,6,Mississippi,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.21532E+11,3915791676,Mississippi,Mississippi,A,32.6864714,-89.6561377,0,2961279,2850547,1658893,1084481,16450,32709,1154,56860,110732,103917,25992,27934,8293,603,31331,3877,1149,273,3095,128,28,571,251,284,108,5995,2320,496,63,735,411,58,991,221,246,30,75,21,134,92,60,4,7,8,2,21,676,172,54,253,21,28,4,44,14,5,9,11,16,7,36,2,119,47,38,17,8,0,9,25,25
G290,2020,0400000US29,29,2,4,Missouri,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78053E+11,2487215790,Missouri,Missouri,A,38.35075,-92.4567826,0,6154913,5741742,4740335,699840,30518,133377,9730,127942,413171,390923,68493,128301,34538,3424,135671,7134,2313,542,6030,352,98,1682,1180,937,228,20344,7562,1634,313,2472,1618,280,3723,1129,764,165,154,46,236,101,54,16,23,15,1,38,1598,434,95,663,75,64,19,99,65,7,33,16,9,5,6,8,281,135,113,6,15,9,3,25,25
G300,2020,0400000US30,30,4,8,Montana,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.76974E+11,3866689601,Montana,Montana,A,47.051177,-109.6348174,0,1084225,1012950,916524,5484,67612,8300,941,14089,71275,67557,4608,29080,6430,916,24502,623,140,30,211,202,96,322,274,101,22,3410,959,161,41,214,472,112,773,434,121,37,1,6,5,7,4,13,27,11,1,11,256,39,14,83,14,4,4,34,27,5,3,6,5,6,7,5,40,13,17,3,0,4,3,12,12
G310,2020,0400000US31,31,2,4,Nebraska,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98957E+11,1371117957,Nebraska,Nebraska,A,41.5433053,-99.8118646,0,1961504,1817341,1538052,96535,23102,52951,1534,105167,144163,136456,19503,23079,12180,826,73788,1882,577,126,1607,167,42,1695,479,407,98,6979,2328,523,81,795,393,52,1745,462,304,43,49,5,98,41,6,15,5,8,9,17,624,124,25,241,56,33,7,24,70,11,13,2,3,1,10,4,84,34,23,6,8,4,9,20,20
G320,2020,0400000US32,32,4,8,Nevada,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.84537E+11,1839662252,Nevada,Nevada,A,39.3310928,-116.6151469,0,3104614,2670605,1588463,304739,43932,272703,25011,435757,434009,400557,34520,36364,45769,6098,239236,4265,5716,1613,9242,738,262,4814,8079,3049,792,29850,4309,2794,575,3260,1735,366,5503,6574,2393,361,260,86,328,535,256,80,106,73,16,240,3159,540,136,792,393,197,45,472,179,38,262,41,29,11,24,0,400,184,127,7,48,31,3,43,43
G330,2020,0400000US33,33,1,1,New Hampshire,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23190113978,1025973001,New Hampshire,New Hampshire,A,43.6726907,-71.5843145,0,1377529,1299787,1216203,20127,3031,35871,453,24102,77742,73876,8076,19548,9151,540,33530,322,180,64,1685,67,7,223,194,203,86,3465,992,334,29,735,260,28,559,191,178,36,1,24,39,17,16,4,2,11,3,6,338,43,3,200,11,20,1,15,18,2,9,3,1,2,9,1,59,26,11,14,0,3,5,4,4
G340,2020,0400000US34,34,1,2,New Jersey,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19048737655,3533261945,New Jersey,New Jersey,A,40.1072744,-74.6652012,0,9288994,8385500,5112280,1219770,51186,950090,3533,1048641,903494,852673,70790,40811,65045,1740,559309,12399,7604,1168,65449,1842,143,14030,2097,7251,2995,43150,10254,2929,217,13263,1016,100,7374,967,3645,265,374,51,1323,139,734,113,30,158,56,142,7058,850,149,4730,79,633,62,46,244,26,112,18,39,13,38,19,546,157,310,22,17,29,11,67,67
G350,2020,0400000US35,35,4,8,New Mexico,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14199E+11,726482115,New Mexico,New Mexico,A,34.4346843,-106.1316181,0,2117522,1695276,1078937,45904,212241,37469,2093,318632,422246,405338,10509,30305,11482,1097,337315,2488,645,130,3049,643,214,5425,668,1063,305,15498,1949,443,55,1807,737,131,7896,555,1226,171,58,21,171,35,54,13,31,60,35,50,1230,171,27,546,43,71,20,102,124,16,61,19,6,7,1,16,152,32,84,16,4,13,3,28,28
G360,2020,0400000US36,36,1,2,New York,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2205E+11,19256750161,New York,New York,A,42.9133974,-75.5962723,0,20201249,18433786,11143349,2986172,149690,1933127,10815,2210633,1767463,1649229,175686,113950,148927,3890,840481,31562,21450,3274,226733,5958,564,33617,6314,28694,8129,99616,24378,6334,504,31594,2154,258,15296,2222,6526,459,1059,171,3838,426,2558,476,145,548,156,514,16806,2049,232,11366,252,1429,92,135,430,37,240,92,210,29,120,93,1623,555,873,99,26,25,45,189,189
G370,2020,0400000US37,37,3,5,North Carolina,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.25933E+11,13456395178,North Carolina,North Carolina,A,35.53971,-79.1308636,0,10439388,9727667,6488459,2140217,130032,343051,8518,617390,711721,664545,114798,124955,57170,3574,294386,23110,6862,1462,24413,983,249,7175,1842,2749,817,41836,16307,3410,458,6524,2035,261,6802,1742,1731,204,454,138,936,298,244,92,64,34,15,87,4728,1102,153,2406,160,285,32,178,193,23,81,31,20,8,31,25,540,280,198,25,22,10,5,72,72
G380,2020,0400000US38,38,2,4,North Dakota,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.78698E+11,4410633765,North Dakota,North Dakota,A,47.442174,-100.4608258,0,779094,737154,645938,26783,38914,13213,924,11382,41940,39726,5120,14414,4048,415,13753,600,251,39,394,98,50,225,183,70,66,1968,645,155,34,212,173,36,347,166,76,11,9,7,29,21,7,1,11,11,0,17,192,35,8,62,11,2,3,22,22,0,0,3,10,1,6,7,49,14,10,6,16,3,0,5,5
G390,2020,0400000US39,39,2,3,Ohio,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.05824E+11,10274656132,Ohio,Ohio,A,40.4149297,-82.7119975,0,11799448,11118076,9080688,1478781,30720,298509,5034,224344,681372,638388,157685,157622,59329,3367,217778,12938,4679,811,17084,637,99,2590,1312,1861,596,38520,17738,3162,488,5720,1974,243,4779,1669,1190,162,310,88,548,178,126,31,36,33,15,30,3942,1049,231,1893,150,180,12,122,138,13,52,30,29,18,14,11,461,219,153,29,37,3,20,61,61
G400,2020,0400000US40,40,3,7,Oklahoma,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77664E+11,3373689316,Oklahoma,Oklahoma,A,35.5900815,-97.4867789,0,3959353,3451195,2514885,289961,332791,90949,8608,214001,508158,476591,46341,251170,21338,2100,124450,19104,1726,420,3753,974,357,3132,824,665,237,29533,15616,1200,227,1956,2926,426,4845,921,541,75,202,58,295,61,41,13,77,21,7,25,1846,460,105,778,74,72,5,181,82,13,32,13,10,5,15,1,167,107,42,5,6,1,6,21,21
G410,2020,0400000US41,41,4,9,Oregon,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.48628E+11,6170953359,Oregon,Oregon,A,43.9717125,-120.6229578,0,4237256,3793917,3169096,82655,62993,194538,19204,265431,443339,412968,32537,96929,59341,7738,198328,2285,1647,519,2794,805,332,3987,3737,1543,446,27366,5185,1771,382,2242,2840,643,6714,4854,1724,271,141,63,159,101,66,20,75,37,3,75,2568,446,98,842,161,115,19,453,229,22,141,17,11,10,4,0,385,191,116,13,30,35,0,52,52
G420,2020,0400000US42,42,1,2,Pennsylvania,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.15882E+11,3397760687,Pennsylvania,Pennsylvania,A,40.9046013,-77.8275298,0,13002700,12228216,9750687,1423169,31052,510501,4276,508531,774484,726012,136716,107274,69760,3360,337578,14495,6188,1025,36170,858,164,5426,1692,3256,2050,42490,15669,3153,450,9963,1483,225,5306,1541,1891,235,328,92,1289,195,348,124,22,55,45,76,5454,1054,203,3296,118,316,55,96,119,27,71,26,42,0,26,5,435,195,195,22,15,4,4,93,93
G440,2020,0400000US44,44,1,1,Rhode Island,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2677759219,1323691129,Rhode Island,Rhode Island,A,41.596485,-71.5264901,0,1097379,995585,782920,62168,7385,38961,536,103615,101794,93292,9960,8317,7009,333,44471,2169,397,86,18100,98,32,1103,181,448,588,7427,1773,286,47,3143,142,39,712,149,243,64,37,12,514,44,109,45,5,25,26,12,994,113,19,711,19,63,14,4,13,9,4,3,7,10,5,0,69,13,36,8,2,10,0,12,12
G450,2020,0400000US45,45,3,5,South Carolina,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77866132568,5074311415,South Carolina,South Carolina,A,33.8741776,-80.8542639,0,5118425,4820049,3243442,1280531,24303,90466,3431,177876,298376,280801,57455,62074,23180,1651,112478,7924,2859,554,8725,300,61,1688,774,790,288,15452,6080,1385,134,2280,928,125,2291,715,622,72,153,27,282,153,84,29,23,22,14,33,1775,364,70,821,110,101,17,112,57,18,42,21,14,3,18,7,292,125,113,15,19,14,6,56,56
G460,2020,0400000US46,46,2,4,South Dakota,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.96346E+11,3383664203,South Dakota,South Dakota,A,44.4467957,-100.2381762,0,886667,840002,715336,17842,77748,13476,543,15057,46665,44190,5575,17783,3699,385,14479,940,163,26,323,165,58,332,133,86,43,2228,839,126,28,186,219,62,415,163,56,30,27,5,32,8,1,8,13,3,4,3,202,21,11,65,17,8,10,29,11,9,4,0,5,0,7,5,44,15,7,4,4,11,3,1,1
G470,2020,0400000US47,47,3,6,Tennessee,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.06792E+11,2322913374,Tennessee,Tennessee,A,35.85846,-86.3496339,0,6910840,6497942,4990938,1092948,28044,135615,4115,246282,412898,391747,71033,109625,31467,2453,153279,6326,2814,534,8615,347,104,2801,926,1082,341,19049,6873,1565,261,2599,1380,210,3407,1046,777,132,140,49,250,166,67,32,30,12,6,47,1832,466,82,770,79,113,12,112,83,16,36,25,6,8,16,8,250,107,108,12,14,5,4,20,20
G480,2020,0400000US48,48,3,7,Texas,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.76681E+11,18979352230,Texas,Texas,A,31.4347032,-99.2818238,0,29145505,24011767,14609365,3552997,278948,1585480,33611,3951366,5133738,4966139,213221,321387,171466,11344,4040218,27070,18267,3622,71643,3305,609,55559,10559,14549,3320,151394,24321,8301,1030,25806,6421,883,58045,5929,13645,1276,753,158,2157,775,821,201,105,316,106,345,14376,2221,292,7383,511,1033,110,604,1316,115,490,101,88,5,73,34,1661,517,841,111,69,89,34,168,168
G490,2020,0400000US49,49,4,8,Utah,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.13355E+11,6529987297,Utah,Utah,A,39.3349925,-111.6563326,0,3271616,2992603,2573413,40058,41644,80438,36930,220120,279013,261893,17096,31850,32648,12766,155296,888,744,651,2350,373,333,3090,2303,1054,451,15570,1520,702,369,1373,774,378,4847,3823,990,321,46,36,80,86,45,9,57,29,8,77,1368,125,52,533,123,58,6,207,115,35,77,11,7,8,1,10,174,54,63,17,4,31,5,8,8
G500,2020,0400000US50,50,1,1,Vermont,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23873081385,1030243281,Vermont,Vermont,A,44.0589536,-72.6710173,0,643077,606051,577751,9034,2289,11549,181,5247,37026,35154,3637,13105,3882,203,13541,153,46,13,326,36,12,81,39,72,8,1656,575,92,27,283,132,21,276,81,79,24,5,7,9,10,9,4,4,3,4,11,169,41,6,72,14,6,1,6,6,4,2,4,2,1,4,0,41,19,13,0,1,6,2,6,6
G510,2020,0400000US51,51,3,5,Virginia,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.02258E+11,8528070310,Virginia,Virginia,A,37.5222512,-78.6681938,0,8631393,7925686,5208856,1607581,40007,615436,7156,446650,705707,654932,111004,86898,105008,4119,284308,14934,10210,1255,21371,978,104,6852,3176,4062,653,44372,13505,5027,507,6748,2483,238,7356,2708,3246,186,494,98,633,463,367,71,31,54,41,116,5685,1326,157,2743,291,347,31,230,299,15,144,26,12,9,46,9,680,248,372,25,11,14,10,38,38
G530,2020,0400000US53,53,4,9,Washington,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.72118E+11,12549742084,Washington,Washington,A,47.4073238,-120.5757999,0,7705281,6868622,5130920,307565,121468,730596,64933,513140,836659,770116,82193,138919,147299,15706,333489,6570,8676,2243,7734,2803,893,6295,11689,4451,1156,59396,11320,6658,1223,4725,6577,1179,10499,10336,3781,530,517,154,394,598,237,43,256,120,20,229,6331,1422,257,1715,684,355,63,906,421,45,323,79,24,5,18,14,710,346,209,39,55,48,13,106,106
G540,2020,0400000US54,54,3,5,West Virginia,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62266296765,489206049,West Virginia,West Virginia,A,38.6472854,-80.6183274,0,1793716,1708772,1610749,65813,3706,15109,476,12919,84944,80877,19578,30144,5443,462,22475,774,262,72,1128,53,36,127,140,144,39,3702,1701,297,67,463,260,44,480,193,89,28,20,4,17,13,7,0,7,2,6,4,303,65,9,109,31,10,4,32,12,3,7,4,9,2,5,1,47,21,25,0,0,0,1,15,15
G550,2020,0400000US55,55,2,3,Wisconsin,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.40292E+11,29343721650,Wisconsin,Wisconsin,A,44.6309071,-89.7093916,0,5893718,5534184,4737545,376256,60428,175702,2199,182054,359534,341196,53543,64697,32014,2004,172629,4343,1586,199,5261,467,102,2178,892,1011,270,16568,5601,1077,164,2606,818,133,3769,963,760,98,106,5,278,55,52,24,3,26,13,17,1606,348,46,880,55,57,17,43,85,22,29,5,16,1,2,0,151,72,55,8,5,4,7,13,13
G560,2020,0400000US56,56,4,8,Wyoming,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.51459E+11,1867503715,Wyoming,Wyoming,A,42.9896591,-107.5443922,0,576851,533378,488374,5232,13898,5212,579,20083,43473,41250,3059,11482,3108,481,21954,165,75,26,220,53,33,356,131,91,16,2024,375,120,35,145,161,43,692,232,117,23,10,2,33,2,12,6,4,11,0,1,163,35,9,32,12,3,13,21,12,9,9,4,3,1,0,0,33,11,14,2,0,4,2,3,3
G720,2020,0400000US72,72,9,0,Puerto Rico,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8868948653,4922329963,Puerto Rico,Puerto Rico,A,18.217648,-66.4107992,0,3285874,1650083,560592,228711,17870,4001,593,838316,1635791,1539017,24479,2586,755,191,1264479,2573,291,78,226074,149,56,13914,46,1075,2271,63117,9846,196,11,38672,42,12,3568,32,475,265,20,3,8953,26,772,98,13,45,51,17,33261,91,18,32529,9,311,44,11,35,40,64,1,51,13,33,11,362,42,234,64,3,12,7,34,34
